R_avg,G_avg,B_avg,Color_var,V_var,S_var,label
47.77333728,47.07961353,47.23831608,8125.834507,18935.61207,0.172136551,0
39.38484218,36.99249816,35.42167557,13497.52406,20645.49269,0.108030004,0
43.67751044,30.97446857,33.5232842,6664.737937,30455.18564,0.283693779,0
41.7626114,35.09079997,32.81313556,11876.96367,21636.97059,0.361487022,0
34.25058954,30.52325845,28.95358824,15554.02923,25176.35526,0.112882345,0
35.77433419,30.89701882,29.72196462,12658.88628,24581.35615,0.227203998,0
46.99309665,45.24909665,45.11980671,12229.63043,17774.12331,0.249261481,0
44.69613275,40.79993775,39.9079369,6215.272593,29050.0226,0.175085453,0
12.45634482,11.62242658,12.37484478,21480.72772,17702.14407,0.061149209,0
34.16050896,32.61851283,27.14593274,9754.27651,24988.91676,0.122341012,0
38.99226484,32.77552994,32.65220875,12225.01065,21164.76487,0.216190585,0
44.31717764,40.54069732,39.51989512,8277.621214,29566.42152,0.133695808,0
43.29053542,36.75846403,36.81189832,8102.767366,19259.45087,0.209094411,0
38.09814755,27.71896833,30.85775141,13953.62597,25630.84299,0.212613767,0
30.82486291,30.62085223,32.17202517,10234.40474,24122.36928,0.273377912,0
42.31515751,38.80971484,40.97771165,4808.689282,30786.66648,0.216857666,0
30.146627,27.88163088,25.8745628,7302.216041,22115.44549,0.285018351,0
31.08818387,30.80717128,29.72237329,16190.73579,18077.4877,0.003419785,0
48.37482365,29.01691895,27.58745914,5660.381391,30768.03279,0.189462302,0
41.78018806,34.40539189,34.34297403,11261.36449,20719.28632,0.205934098,0
36.29776017,30.89481735,27.5926291,9496.189465,25658.68686,0.108425567,0
30.39617626,17.05119211,10.52751222,15214.98948,28058.71296,0.417576026,0
41.11675233,29.43452019,29.23734403,13524.90101,20613.97587,0.246310595,0
43.18266114,27.01168481,27.06122172,12059.04807,23805.23631,0.188848984,0
34.79927014,30.68364154,27.94116662,13872.31437,20966.33119,0.124851999,0
34.45491246,28.97082778,26.64065812,14860.71176,23404.00948,0.094028967,0
39.07154277,35.39180463,35.70773841,12628.75932,22879.90054,0.150401691,0
